,AttitudeToHomosexuality,HomosexualPeopleYouKnow,HowMuchYouAgreeThatMoreChildreanMoreBlessing,HowMuchYouAgreeThatHavingBoysBetterThanGirls,ReligiousBelief,OnlineShoppingFrequency,SocialMediaUsageFrequency,PaidByTheNation,HasStudiesAbroad,BornProvinceCityCounty,AnnualIncome,Birthyear,Birthmonth,MaritalStatus,ResidenceProvinceCityCounty,FatherEducation,MotherEducation,ArmyEnrollment,PoliticalRole,FatherResidenceType,MotherResidenceType,BornResidenceType,CurrentResidenceType,EducationLevel,Attitude,Age,Income,Education
0,1,0,,,9,1.0,1.0,,2.0,371524.0,100000.0,1983,,2,371524.0,2.0,1.0,2,3,1.0,1.0,1,1,7.0,1,2,2,3
1,1,0,,,9,2.0,1.0,,2.0,371524.0,40000.0,1992,,1,371524.0,3.0,1.0,2,3,1.0,1.0,1,1,3.0,1,1,2,2
2,1,0,,,9,1.0,1.0,,2.0,131182.0,72000.0,1955,,2,110105.0,2.0,1.0,2,1,1.0,1.0,1,2,8.0,1,3,2,4
3,1,0,,,9,,,,2.0,110102.0,,1955,,2,110105.0,1.0,1.0,2,1,,,2,2,4.0,1,3,3,3
4,1,0,,,9,,,,2.0,110105.0,,1954,,2,110105.0,9.0,7.0,2,1,2.0,2.0,2,4,8.0,1,3,3,4
5,3,1,,,9,,,,2.0,130102.0,,1995,,1,130102.0,4.0,,2,3,2.0,2.0,2,4,10.0,2,1,3,4
6,1,0,,,9,,,,2.0,110102.0,,1959,,2,110101.0,1.0,1.0,2,3,2.0,2.0,2,4,8.0,1,2,3,4
7,1,0,,,9,,,,2.0,110101.0,,1954,,2,110105.0,2.0,2.0,2,3,,,2,2,4.0,1,3,3,3
8,2,0,,,9,1.0,1.0,2.0,2.0,110101.0,85000.0,1954,2.0,6,110105.0,1.0,1.0,2,1,2.0,2.0,2,4,8.0,1,3,2,4
9,2,0,,,9,1.0,1.0,,2.0,110105.0,100000.0,1980,,2,110105.0,,,2,3,2.0,2.0,3,4,9.0,1,2,2,4
10,3,0,,,9,4.0,1.0,,2.0,110119.0,40000.0,1969,10.0,5,110105.0,2.0,2.0,2,3,,,1,3,4.0,2,2,2,3
11,3,1,,,9,1.0,1.0,1.0,2.0,532501.0,200000.0,1972,4.0,4,110101.0,4.0,3.0,2,1,2.0,2.0,2,4,10.0,2,2,3,4
12,3,0,,,9,1.0,1.0,,2.0,110105.0,36000.0,1989,4.0,1,110105.0,,,2,1,2.0,2.0,2,4,8.0,2,1,2,4
13,2,0,,,9,1.0,1.0,,2.0,520302.0,100000.0,1971,2.0,4,110105.0,3.0,2.0,2,3,1.0,1.0,1,4,9.0,1,2,2,4
14,3,0,,,9,,,,2.0,110108.0,,1960,12.0,3,110105.0,5.0,8.0,2,3,1.0,2.0,2,4,8.0,2,2,3,4
15,2,0,,,9,1.0,1.0,1.0,1.0,370983.0,200000.0,1985,1.0,3,110105.0,3.0,7.0,2,1,1.0,1.0,3,4,11.0,1,2,3,4
16,2,0,,,9,1.0,1.0,,2.0,130682.0,100000.0,1989,10.0,2,130682.0,4.0,3.0,2,3,1.0,1.0,1,1,8.0,1,1,2,4
17,3,0,,,9,,,,2.0,110106.0,,1970,5.0,2,110105.0,9.0,9.0,2,3,1.0,2.0,2,4,9.0,2,2,3,4
18,1,0,,,3,,,,2.0,110102.0,,1968,4.0,1,110105.0,9.0,9.0,2,3,,,3,4,9.0,1,2,3,4
