AttitudeToHomosexuality,HomosexualPeopleYouKnow,HowMuchYouAgreeThatMoreChildreanMoreBlessing,HowMuchYouAgreeThatHavingBoysBetterThanGirls,ReligiousBelief,OnlineShoppingFrequency,SocialMediaUsageFrequency,PaidByTheNation,HasStudiesAbroad,BornProvinceCityCounty,AnnualIncome,Birthyear,Birthmonth,MaritalStatus,ResidenceProvinceCityCounty,FatherEducation,MotherEducation,ArmyEnrollment,PoliticalRole,FatherResidenceType,MotherResidenceType,BornResidenceType,CurrentResidenceType,EducationLevel
1,0,,,9,1,1,,2,371524,100000,1983,,2,371524,2,1,2,3,1,1,1,1,7
1,0,,,9,2,1,,2,371524,40000,1992,,1,371524,3,1,2,3,1,1,1,1,3
1,0,,,9,1,1,,2,131182,72000,1955,,2,110105,2,1,2,1,1,1,1,2,8
1,0,,,9,,,,2,110102,,1955,,2,110105,1,1,2,1,,,2,2,4
1,0,,,9,,,,2,110105,,1954,,2,110105,9,7,2,1,2,2,2,4,8
3,1,,,9,,,,2,130102,,1995,,1,130102,4,,2,3,2,2,2,4,10
1,0,,,9,,,,2,110102,,1959,,2,110101,1,1,2,3,2,2,2,4,8
1,0,,,9,,,,2,110101,,1954,,2,110105,2,2,2,3,,,2,2,4
2,0,,,9,1,1,2,2,110101,85000,1954,2,6,110105,1,1,2,1,2,2,2,4,8
2,0,,,9,1,1,,2,110105,100000,1980,,2,110105,,,2,3,2,2,3,4,9
3,0,,,9,4,1,,2,110119,40000,1969,10,5,110105,2,2,2,3,,,1,3,4
3,1,,,9,1,1,1,2,532501,200000,1972,4,4,110101,4,3,2,1,2,2,2,4,10
3,0,,,9,1,1,,2,110105,36000,1989,4,1,110105,,,2,1,2,2,2,4,8
2,0,,,9,1,1,,2,520302,100000,1971,2,4,110105,3,2,2,3,1,1,1,4,9
3,0,,,9,,,,2,110108,,1960,12,3,110105,5,8,2,3,1,2,2,4,8
2,0,,,9,1,1,1,1,370983,200000,1985,1,3,110105,3,7,2,1,1,1,3,4,11
2,0,,,9,1,1,,2,130682,100000,1989,10,2,130682,4,3,2,3,1,1,1,1,8
3,0,,,9,,,,2,110106,,1970,5,2,110105,9,9,2,3,1,2,2,4,9
1,0,,,3,,,,2,110102,,1968,4,1,110105,9,9,2,3,,,3,4,9
3,0,,,9,,,,2,610902,,1972,12,2,110105,7,1,2,3,2,2,2,4,9
1,0,,,9,1,1,2,2,110101,50000,1959,10,2,110105,3,3,2,3,2,2,2,4,4
1,0,,,9,4,1,,2,110105,40000,1988,3,2,110105,5,5,2,3,2,2,2,4,8
3,0,,,9,1,1,,2,110105,60000,1993,12,1,110105,4,4,2,3,2,2,2,4,9
3,0,,,9,1,1,,2,440303,300000,1982,9,1,440304,8,8,2,3,2,2,2,2,9
2,0,,,9,1,1,2,2,110108,50000,1969,10,2,110105,9,9,2,3,2,2,2,4,8
3,0,,,9,1,1,,2,110108,30000,1974,7,2,110105,3,3,2,3,2,2,2,4,8
3,0,,,9,1,1,,2,110102,18000,1972,1,2,110105,9,8,1,1,,,2,2,9
4,1,,,9,1,1,,2,110101,100000,1974,6,2,110105,7,3,2,3,,2,2,2,4
2,0,,,9,1,1,1,2,411502,100000,1977,,2,120104,4,4,2,3,1,2,2,2,8
3,0,,,9,,,,2,110105,,2003,,1,120104,,,2,3,2,2,2,2,3
2,0,,,3,,,,2,320923,,1939,,5,110105,1,1,2,3,1,1,1,3,2
1,0,,,9,2,1,,2,110105,50000,1968,,2,110105,9,8,2,3,2,2,2,4,8
2,0,,,9,,,,2,110108,,1968,7,4,110108,99,,2,3,1,1,2,4,3
2,0,,,9,2,1,,2,110105,48000,1994,,1,110105,,,2,3,,2,3,4,8
2,0,,,3,2,3,2,2,110105,36000,1968,11,4,110105,,2,2,3,,,2,2,7
2,0,,,9,,,,2,110105,,1964,,3,110105,2,,2,3,1,1,3,4,4
3,0,,,9,1,1,,2,360902,250000,1979,6,2,110105,9,6,2,3,1,1,2,4,10
3,0,,,9,1,1,,2,150702,350000,1978,10,2,310115,,,2,3,,,2,4,9
3,0,,,2,,,,2,110105,,1972,8,2,110105,3,8,2,3,2,2,2,4,4
1,0,,,9,,,,2,430902,,1968,3,2,110105,1,2,2,3,1,1,1,3,2
2,0,,,9,2,1,,2,500101,24000,1968,8,2,110105,1,1,2,3,1,1,1,3,2
3,0,,,9,,,,2,110105,,1954,4,2,110105,99,1,2,3,1,1,3,4,3
3,0,,,9,,,,2,110105,,1968,5,3,340102,9,9,2,3,2,2,3,4,3
3,0,,,9,,,,2,130705,,1986,7,2,130705,4,,2,3,,,2,4,9
2,0,,,6,,,,2,110105,,1962,10,2,110105,2,3,2,3,2,2,3,4,4
3,0,,,3,1,1,,2,110105,99999,1985,11,2,110105,4,7,2,3,2,2,3,4,9
1,0,,,9,2,1,,2,341021,900000,1989,,2,120104,,,2,1,1,1,1,3,10
3,0,,,9,1,1,2,2,340523,0,1994,11,1,340523,,,2,3,1,1,1,1,9
2,0,,,9,3,1,,2,130681,300000,1989,9,2,130681,4,3,2,3,1,1,1,1,9
2,0,,,9,,,,2,411522,,1998,5,1,411522,,,2,3,1,1,1,1,9
2,0,,,9,,,,2,110105,,1965,4,2,,4,1,2,3,,,3,4,9
1,0,,,9,1,1,,2,130528,80000,1989,8,2,130528,3,3,2,3,1,1,1,1,7
1,0,,,9,,,,2,110105,,1962,11,2,110105,,3,2,3,,1,3,4,4
2,0,,,9,,,,2,131028,,1972,6,2,110105,3,2,2,3,1,1,1,3,3
1,0,,,9,2,1,1,2,230100,108000,1971,7,2,110105,,,2,3,1,1,1,3,7
2,0,,,9,,,,2,110102,,1965,11,2,110105,7,3,2,3,,,2,2,8
1,0,,,9,,,,2,110101,,1960,7,3,110105,4,2,2,3,2,2,3,4,2
1,0,,,9,2,1,,2,110101,60000,1973,4,2,110105,3,3,2,3,2,2,3,4,5
3,0,,,9,2,1,,2,360102,20000,1972,5,2,360102,4,2,2,3,2,2,2,4,9
3,0,,,9,,,,2,131082,,1982,7,2,110105,4,4,2,1,1,1,1,2,10
2,0,,,9,,,,2,110101,,1958,,2,110101,2,1,2,3,1,2,3,4,4
2,0,,,9,,,,2,110101,,1960,,2,110101,2,2,2,3,2,1,3,4,4
3,0,,,9,2,1,1,2,350582,250000,1975,,2,110101,2,2,2,1,1,1,1,3,11
1,0,,,9,1,1,1,2,350582,270000,1975,,2,110101,3,2,2,1,,,1,2,10
1,0,,,9,4,1,2,2,110102,100000,1962,,2,110101,3,2,2,3,,,3,4,8
2,0,,,9,2,1,1,2,110116,170000,1969,,2,110101,2,,2,3,,,3,4,9
4,0,,,9,,,,2,110101,,1992,,1,110101,,,2,3,2,2,2,2,9
2,0,,,9,2,2,,2,130229,5000,1958,,2,110101,,1,2,3,,,1,3,2
2,0,,,9,,,,2,110112,,1959,,2,110101,1,1,2,3,,,1,3,3
2,3,,,9,1,1,1,2,110102,200000,1991,,2,110118,3,3,2,1,1,2,3,4,10
2,0,,,9,,,,2,110106,,1957,2,2,110101,2,2,2,3,2,2,3,4,3
3,0,,,9,,,,2,110101,,1957,2,5,110101,2,1,2,3,2,2,3,4,4
2,0,,,9,,,,2,110101,,1959,,2,110105,1,1,2,1,,,3,4,4
2,0,,,9,,,,2,110105,,1959,,2,110105,2,2,2,3,2,2,3,4,3
3,0,,,9,,,,2,110101,,1967,,2,110101,9,,2,3,2,2,3,4,9
1,0,,,9,,,,2,110101,,1959,,2,110101,2,3,2,3,,,3,2,4
3,0,,,9,,,,2,110101,,1958,,2,110101,,,2,3,1,1,3,4,4
3,0,,,9,,,,2,130902,,1958,,2,110101,,1,2,3,1,,3,4,4
2,0,,,9,,,,2,110102,,1959,,2,110101,2,1,2,3,2,2,3,4,4
1,0,,,9,,,,2,110102,,1954,8,2,110101,2,1,2,3,,,3,4,2
3,0,,,9,1,1,1,2,110101,100000,1972,11,2,110101,8,8,2,1,2,2,3,4,9
2,0,,,9,1,1,,2,110101,140000,1969,9,2,110101,9,9,2,3,2,2,3,4,8
2,0,,,9,,,,2,110101,,1970,3,2,110101,2,,2,3,2,2,3,4,8
2,0,,,9,4,3,,2,411723,48000,1990,1,1,411723,,,2,3,1,1,1,2,2
4,1,,,9,1,1,,2,411723,120000,1995,11,1,411723,3,4,2,3,2,2,3,4,4
3,0,,,9,2,1,,2,110106,72000,1979,,2,110106,4,4,2,3,2,2,2,4,9
2,0,,,9,2,1,,2,210700,6000,1954,,2,110108,9,7,1,1,2,2,2,4,9
1,0,,,9,2,1,,2,210100,6000,1957,,2,110108,9,9,2,1,1,1,3,4,9
3,0,,,9,1,1,1,2,510108,250000,1981,,2,110108,9,3,2,3,,,2,2,9
2,0,,,9,2,1,,2,110113,99997,1972,,2,110106,3,3,2,3,1,1,1,3,9
3,0,,,9,3,1,1,2,110108,60000,1966,,2,110108,,,2,3,2,2,3,4,8
2,0,,,9,2,1,,2,610481,100000,1972,,2,110106,2,3,2,3,1,1,2,4,9
2,0,,,9,1,1,,2,230225,100000,1973,,2,110106,2,,2,3,2,2,2,4,8
3,0,,,9,,,,2,110106,,1967,,2,110106,3,2,2,3,2,2,2,4,3
4,5,,,9,1,1,,2,110106,120000,1989,10,1,110106,8,9,2,3,2,2,2,4,9
2,0,,,9,1,1,,2,110106,100000,1994,10,1,110106,4,9,2,3,2,2,2,2,9
3,0,,,9,1,1,1,2,110106,76000,1977,11,2,110106,8,8,2,3,2,2,2,2,9
3,0,,,9,1,1,,2,110106,72000,1985,3,2,110106,3,2,2,3,2,2,3,4,9
1,0,,,9,2,2,,2,110106,360000,1979,10,4,110106,3,3,2,3,1,1,1,4,9
3,0,,,9,1,1,,2,110106,120000,1985,11,4,110106,,,2,3,2,2,2,4,9
3,0,,,9,2,1,,2,110114,300000,1982,8,2,110114,8,9,2,3,2,2,2,2,9
3,0,,,9,1,1,,2,120101,76000,1991,1,1,110106,,,2,3,2,2,2,2,9
3,0,,,9,3,1,,2,230102,99999,1989,9,1,110106,,,2,3,2,2,2,4,9
3,0,,,9,3,1,1,2,110106,84000,1980,4,2,110106,4,3,2,3,2,2,2,4,9
3,0,,,9,1,1,,2,110106,200000,1977,6,2,110106,4,3,2,3,2,2,2,2,10
3,0,,,9,1,1,,2,210102,100000,1990,6,1,110106,,,2,3,2,2,3,2,9
2,0,,,3,1,1,,2,211422,90000,1985,4,1,211422,3,3,2,3,1,1,1,2,8
3,0,,,9,,,,2,110106,,1992,7,1,110106,9,9,2,1,2,2,3,4,11
3,0,,,9,1,1,,1,371103,120000,1990,12,1,110106,8,7,2,3,2,2,3,4,9
3,0,,,9,1,1,2,2,110106,150000,1983,11,1,110106,4,8,2,3,2,2,2,4,9
4,2,,,9,1,1,1,2,110106,99999,1987,10,1,110106,10,9,2,3,2,2,2,2,9
3,0,2,5,9,,,,2,110106,,1964,,2,110106,3,3,2,3,2,1,1,1,3
3,0,3,5,9,1,1,1,2,110106,100000,1987,,2,110106,,,2,3,1,1,1,3,9
3,0,2,4,9,1,1,1,2,110106,60000,1987,,2,110106,3,3,2,3,2,2,2,2,8
3,0,4,4,9,,,,2,110106,,1959,,2,110106,4,4,2,3,2,2,1,1,4
2,0,3,4,9,,,,2,110106,,1956,,2,110106,1,1,2,3,2,1,1,1,3
1,0,4,4,9,2,2,1,2,110106,50000,1972,,2,110106,8,8,2,3,2,1,1,1,8
3,0,5,5,9,4,2,1,2,110106,50000,1971,,2,110106,3,2,2,3,1,1,1,1,8
3,0,5,5,9,,,,2,110106,,1998,,1,110106,,,2,3,1,1,2,2,8
3,0,3,3,9,4,4,,2,110106,24000,1966,,2,110106,,,2,3,2,1,1,1,4
1,0,4,4,9,,,,2,110112,,1961,,2,110106,2,2,2,3,1,1,1,1,4
1,0,3,3,9,,,,2,110106,,1960,,2,110106,2,1,1,3,1,1,1,1,3
3,0,2,5,9,1,1,2,2,110106,60000,1982,,2,110106,3,,2,3,2,1,1,3,8
1,0,2,5,9,,,,2,110111,,1960,,2,110106,1,1,2,3,1,1,1,1,4
1,0,3,4,9,,,,2,110106,,1959,,2,110106,,2,2,3,1,1,1,1,3
3,0,3,5,9,,,,2,110108,,1999,,1,350181,,,2,3,1,1,1,1,4
1,0,1,5,9,,,,2,110106,,1956,,5,110106,2,2,2,3,1,1,1,1,3
3,0,4,5,9,,,,2,110113,,1959,,2,110106,2,2,2,3,1,1,1,1,3
1,0,4,5,9,,,,2,110106,,1962,,2,110106,2,2,2,3,1,1,1,1,3
1,0,5,5,9,4,2,,2,110106,50000,1963,,2,110106,2,1,2,3,1,1,1,1,3
1,0,5,3,2,4,1,,2,131100,36000,1966,,4,110106,,2,2,3,1,1,1,1,3
3,0,3,4,9,,,,2,110106,,1964,,2,110106,1,1,2,3,1,1,1,1,3
3,0,3,5,9,,,,2,110106,,1964,,2,110106,1,1,2,3,1,1,1,1,3
3,0,1,1,9,1,1,,2,110106,20000,1983,,2,110106,3,4,2,3,1,1,1,1,4
